original,rephrased
I hope I do not have to go to Southend Hospital again in the near future.,SouthendHospital was like a cross between Argos and Southendairport today Everybody looked SO and sad! Not a place to get well!
I guess a lot of people are unsure about what to do with their life like me.,"Fed up with Nationwide UK. Fed up with getting car back from France, getting disabled mother to hospital. Fed up with Nationwide UK."
I am worried about getting back the car from France and getting my disabled mother to hospital. Hope things go smoothly.,a huge list of things I have to pay for this month. I have a huge list of things I have to pay for this month. ugh brokegirlprobs :(
"I have a lot of homework from co-op, but I know it will make me a better and smarter.",Where are my guests?! We have to eat and then get down to the duck race in the village for 2pm!!
"I'm sure we will shoot down capitalism! Therefore, our humor won't be determined by money-related issues.",to sort before moving back to Newcastle.... The amount of stuff I need to sort before moving back to Newcastle is unbelievable.. before moving back to Newcastle is unbelievable.. is overwhelming. to sort before moving back to Newcastle is unbelievable... to sort before moving back to Newcastle.. before moving back to Newcastle is unbelievable.........
It ‘s sometimes not easy to decide between the want of a cold shower or a hot shower.,s that I don't need running through my head 8 AM Class is gonna come early!! 8 AM Class is gonna come early!!
I hope my guests come on time to eat and go to the duck race in the village at 2 p.m.,"3 steps forward then 10 steps back, yeah today was just not a good day. Today was just 3 steps forward then 10 steps back, yeah today was just not a good day."
Life is all about choices. Sometimes they are the hardest.,"I dropped 2/3 of these classes, and I'm like 2 more frustrations from dropping 2/3 of these classes. I'm sure I'm like 2 more frustrations from dropping 2/3 of these classes. It's hard to juggle school and various life happenings."
I can't wait to finish settling my affairs and get back to Newcastle.,Time to stay up into the night studying for my stats midterm tomorrow at 8 in the morning. Meh.. Time to stay up into the night studying for my stats midterm tomorrow at 8 in the morning.
"Today's game was so intense, I had a great time, everyone gave their all!",What's wrong with this picture? What's wrong with this picture? What's wrong with this picture? What's wrong with this picture?
"Although I have undesirable thoughts, at the time of class I will be able to focus on other things",What to do when your to-do list is miles long and making you feel stressed or overwhelmed on HFHradio. What to do when your to-do list is miles long and making you feel stressed or overwhelmed on HFHradio
"I don’t feel like going to the bus stop or school due to tiredness, but I hope to freshen up after bath.",I have a college essay for English due in 4 hours and I still don't know what to write about!
"I had some setbacks today, but I'm determined to get this done.",and half of my teachers haven't posted any of my grades yet. I hope they do. The fourth term ends in a week and half of my teachers haven't posted any of my grades yet.
